NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
387,490.1731266149871,523.0,0.2,0.05,0.8,-NA-
388,490.27319587628864,529.0,0.2,0.05,0.8,-NA-
389,490.3676092544987,527.0,0.2,0.05,0.8,-NA-
390,490.45641025641027,525.0,0.2,0.05,0.8,-NA-
391,490.5549872122762,529.0,0.2,0.05,0.8,-NA-
392,490.64285714285717,525.0,0.2,0.05,0.8,-NA-
393,490.74045801526717,529.0,0.2,0.05,0.8,-NA-
394,490.8274111675127,525.0,0.2,0.05,0.8,-NA-
395,490.9088607594937,523.0,0.2,0.05,0.8,-NA-
396,491.0,527.0,0.2,0.05,0.8,-NA-
397,491.0755667506297,521.0,0.2,0.05,0.8,-NA-
398,491.16582914572865,527.0,0.2,0.05,0.8,-NA-
399,491.25563909774434,527.0,0.2,0.05,0.8,-NA-
400,491.345,527.0,0.2,0.05,0.8,-NA-
401,491.43890274314214,529.0,0.2,0.05,0.8,-NA-
402,488.9950248756219,-491.0,0.2,0.05,0.8,-NA-
403,489.09429280397023,529.0,0.2,0.05,0.8,-NA-
404,489.1831683168317,525.0,0.2,0.05,0.8,-NA-
405,489.27654320987654,527.0,0.2,0.05,0.8,-NA-
406,489.3645320197044,525.0,0.2,0.05,0.8,-NA-
407,489.4619164619165,529.0,0.2,0.05,0.8,-NA-
408,489.55882352941177,529.0,0.2,0.05,0.8,-NA-
409,489.6552567237164,529.0,0.2,0.05,0.8,-NA-
410,489.7512195121951,529.0,0.2,0.05,0.8,-NA-
411,489.8418491484185,527.0,0.2,0.05,0.8,-NA-
412,489.93203883495147,527.0,0.2,0.05,0.8,-NA-
413,490.0266343825666,529.0,0.2,0.05,0.8,-NA-
414,490.1111111111111,525.0,0.2,0.05,0.8,-NA-
415,490.2048192771084,529.0,0.2,0.05,0.8,-NA-
416,490.2932692307692,527.0,0.2,0.05,0.8,-NA-
417,490.3860911270983,529.0,0.2,0.05,0.8,-NA-
418,490.4736842105263,527.0,0.2,0.05,0.8,-NA-
419,490.5656324582339,529.0,0.2,0.05,0.8,-NA-
420,490.64761904761906,525.0,0.2,0.05,0.8,-NA-
421,490.73396674584325,527.0,0.2,0.05,0.8,-NA-
422,490.81990521327015,527.0,0.2,0.05,0.8,-NA-
423,490.90070921985813,525.0,0.2,0.05,0.8,-NA-
424,490.97641509433964,523.0,0.2,0.05,0.8,-NA-
425,491.0564705882353,525.0,0.2,0.05,0.8,-NA-
426,491.1267605633803,521.0,0.2,0.05,0.8,-NA-
427,491.21545667447305,529.0,0.2,0.05,0.8,-NA-
428,491.29906542056074,527.0,0.2,0.05,0.8,-NA-
429,491.3776223776224,525.0,0.2,0.05,0.8,-NA-
430,491.45581395348836,525.0,0.2,0.05,0.8,-NA-
431,491.5336426914153,525.0,0.2,0.05,0.8,-NA-
432,491.61574074074076,527.0,0.2,0.05,0.8,-NA-
433,491.6974595842956,527.0,0.2,0.05,0.8,-NA-
434,491.7834101382488,529.0,0.2,0.05,0.8,-NA-
435,491.86436781609194,527.0,0.2,0.05,0.8,-NA-
436,491.9449541284404,527.0,0.2,0.05,0.8,-NA-
437,492.02517162471395,527.0,0.2,0.05,0.8,-NA-
438,492.10502283105023,527.0,0.2,0.05,0.8,-NA-
439,492.1845102505695,527.0,0.2,0.05,0.8,-NA-
