NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
157,480.88535031847135,529.0,0.2,0.05,0.8,0.5
158,481.1898734177215,529.0,0.2,0.05,0.8,0.5
159,481.4654088050315,525.0,0.2,0.05,0.8,0.5
160,481.7625,529.0,0.2,0.05,0.8,0.5
161,482.04347826086956,527.0,0.2,0.05,0.8,0.5
162,482.3333333333333,529.0,0.2,0.05,0.8,0.5
163,482.60736196319016,527.0,0.2,0.05,0.8,0.5
164,482.890243902439,529.0,0.2,0.05,0.8,0.5
165,483.1272727272727,522.0,0.2,0.05,0.8,0.5
166,483.40361445783134,529.0,0.2,0.05,0.8,0.5
167,483.6646706586826,527.0,0.2,0.05,0.8,0.5
168,483.9345238095238,529.0,0.2,0.05,0.8,0.5
169,484.18934911242604,527.0,0.2,0.05,0.8,0.5
170,484.4529411764706,529.0,0.2,0.05,0.8,0.5
171,484.70175438596493,527.0,0.2,0.05,0.8,0.5
172,484.9244186046512,523.0,0.2,0.05,0.8,0.5
173,485.1734104046243,528.0,0.2,0.05,0.8,0.5
174,485.4022988505747,525.0,0.2,0.05,0.8,0.5
175,485.62857142857143,525.0,0.2,0.05,0.8,0.5
176,485.84090909090907,523.0,0.2,0.05,0.8,0.5
177,486.08474576271186,529.0,0.2,0.05,0.8,0.5
178,486.314606741573,527.0,0.2,0.05,0.8,0.5
179,480.8826815642458,-486.0,0.2,0.05,0.8,0.5
180,481.1388888888889,527.0,0.2,0.05,0.8,0.5
181,481.4033149171271,529.0,0.2,0.05,0.8,0.5
182,481.65384615384613,527.0,0.2,0.05,0.8,0.5
183,481.9016393442623,527.0,0.2,0.05,0.8,0.5
184,482.1467391304348,527.0,0.2,0.05,0.8,0.5
185,482.3891891891892,527.0,0.2,0.05,0.8,0.5
186,482.63978494623655,529.0,0.2,0.05,0.8,0.5
187,482.8663101604278,525.0,0.2,0.05,0.8,0.5
188,483.0904255319149,525.0,0.2,0.05,0.8,0.5
189,483.32275132275134,527.0,0.2,0.05,0.8,0.5
190,483.56315789473683,529.0,0.2,0.05,0.8,0.5
191,483.80104712041884,529.0,0.2,0.05,0.8,0.5
192,484.0052083333333,523.0,0.2,0.05,0.8,0.5
