NumTrainingEpisode,AvgRewardsForAll,EpisodeReward,Alpha,Epsilon,Gamma,Lambda
179,40.86033519553072,498.0,0.2,0.05,0.8,-NA-
180,37.85,-501.0,0.2,0.05,0.8,-NA-
181,40.39779005524862,499.0,0.2,0.05,0.8,-NA-
182,37.40659340659341,-504.0,0.2,0.05,0.8,-NA-
183,39.97267759562842,507.0,0.2,0.05,0.8,-NA-
184,42.51086956521739,507.0,0.2,0.05,0.8,-NA-
185,44.956756756756754,495.0,0.2,0.05,0.8,-NA-
186,47.43010752688172,505.0,0.2,0.05,0.8,-NA-
187,49.8716577540107,504.0,0.2,0.05,0.8,-NA-
188,46.920212765957444,-505.0,0.2,0.05,0.8,-NA-
189,49.354497354497354,507.0,0.2,0.05,0.8,-NA-
190,46.44210526315789,-504.0,0.2,0.05,0.8,-NA-
191,43.55497382198953,-505.0,0.2,0.05,0.8,-NA-
192,45.953125,504.0,0.2,0.05,0.8,-NA-
193,48.29015544041451,497.0,0.2,0.05,0.8,-NA-
194,50.654639175257735,507.0,0.2,0.05,0.8,-NA-
195,52.98461538461538,505.0,0.2,0.05,0.8,-NA-
196,55.295918367346935,506.0,0.2,0.05,0.8,-NA-
197,52.46700507614213,-502.0,0.2,0.05,0.8,-NA-
198,54.75252525252525,505.0,0.2,0.05,0.8,-NA-
199,56.96482412060301,495.0,0.2,0.05,0.8,-NA-
200,59.175,499.0,0.2,0.05,0.8,-NA-
201,61.40298507462686,507.0,0.2,0.05,0.8,-NA-
202,63.56930693069307,499.0,0.2,0.05,0.8,-NA-
203,60.77339901477833,-504.0,0.2,0.05,0.8,-NA-
204,57.98529411764706,-508.0,0.2,0.05,0.8,-NA-
205,60.136585365853655,499.0,0.2,0.05,0.8,-NA-
206,57.398058252427184,-504.0,0.2,0.05,0.8,-NA-
207,59.570048309178745,507.0,0.2,0.05,0.8,-NA-
208,61.67788461538461,498.0,0.2,0.05,0.8,-NA-
209,58.94736842105263,-509.0,0.2,0.05,0.8,-NA-
210,56.24761904761905,-508.0,0.2,0.05,0.8,-NA-
211,58.37440758293839,505.0,0.2,0.05,0.8,-NA-
212,60.443396226415096,497.0,0.2,0.05,0.8,-NA-
213,57.79342723004695,-504.0,0.2,0.05,0.8,-NA-
214,59.85514018691589,499.0,0.2,0.05,0.8,-NA-
215,57.22790697674419,-505.0,0.2,0.05,0.8,-NA-
216,54.58796296296296,-513.0,0.2,0.05,0.8,-NA-
217,56.663594470046085,505.0,0.2,0.05,0.8,-NA-
218,54.091743119266056,-504.0,0.2,0.05,0.8,-NA-
219,51.54337899543379,-504.0,0.2,0.05,0.8,-NA-
220,53.61363636363637,507.0,0.2,0.05,0.8,-NA-
221,55.6289592760181,499.0,0.2,0.05,0.8,-NA-
222,57.64414414414414,503.0,0.2,0.05,0.8,-NA-
223,59.62331838565022,499.0,0.2,0.05,0.8,-NA-
224,61.611607142857146,505.0,0.2,0.05,0.8,-NA-
225,63.586666666666666,506.0,0.2,0.05,0.8,-NA-
226,65.51327433628319,499.0,0.2,0.05,0.8,-NA-
227,67.42290748898678,499.0,0.2,0.05,0.8,-NA-
228,69.35087719298245,507.0,0.2,0.05,0.8,-NA-
229,66.8471615720524,-504.0,0.2,0.05,0.8,-NA-
230,64.37391304347825,-502.0,0.2,0.05,0.8,-NA-
231,61.913419913419915,-504.0,0.2,0.05,0.8,-NA-
232,63.793103448275865,498.0,0.2,0.05,0.8,-NA-
233,61.35622317596567,-504.0,0.2,0.05,0.8,-NA-
234,63.256410256410255,506.0,0.2,0.05,0.8,-NA-
235,60.8,-514.0,0.2,0.05,0.8,-NA-
236,58.40677966101695,-504.0,0.2,0.05,0.8,-NA-
237,60.29113924050633,505.0,0.2,0.05,0.8,-NA-
238,62.168067226890756,507.0,0.2,0.05,0.8,-NA-
239,64.02928870292887,507.0,0.2,0.05,0.8,-NA-
240,61.6625,-504.0,0.2,0.05,0.8,-NA-
241,63.510373443983404,507.0,0.2,0.05,0.8,-NA-
242,61.14049586776859,-510.0,0.2,0.05,0.8,-NA-
243,58.81481481481482,-504.0,0.2,0.05,0.8,-NA-
244,60.65163934426229,507.0,0.2,0.05,0.8,-NA-
245,58.33877551020408,-506.0,0.2,0.05,0.8,-NA-
246,60.146341463414636,503.0,0.2,0.05,0.8,-NA-
247,57.86234817813765,-504.0,0.2,0.05,0.8,-NA-
248,55.55241935483871,-515.0,0.2,0.05,0.8,-NA-
249,57.36546184738956,507.0,0.2,0.05,0.8,-NA-
250,59.156,505.0,0.2,0.05,0.8,-NA-
251,60.940239043824704,507.0,0.2,0.05,0.8,-NA-
252,62.71031746031746,507.0,0.2,0.05,0.8,-NA-
253,64.43478260869566,499.0,0.2,0.05,0.8,-NA-
254,66.14566929133858,499.0,0.2,0.05,0.8,-NA-
255,67.87450980392157,507.0,0.2,0.05,0.8,-NA-
256,65.60546875,-513.0,0.2,0.05,0.8,-NA-
257,63.35408560311284,-513.0,0.2,0.05,0.8,-NA-
258,65.04263565891473,499.0,0.2,0.05,0.8,-NA-
259,62.84169884169884,-505.0,0.2,0.05,0.8,-NA-
260,64.51923076923077,499.0,0.2,0.05,0.8,-NA-
261,66.183908045977,499.0,0.2,0.05,0.8,-NA-
262,67.8587786259542,505.0,0.2,0.05,0.8,-NA-
263,69.49049429657795,497.0,0.2,0.05,0.8,-NA-
264,67.31818181818181,-504.0,0.2,0.05,0.8,-NA-
265,65.13207547169812,-512.0,0.2,0.05,0.8,-NA-
266,66.79323308270676,507.0,0.2,0.05,0.8,-NA-
267,68.43445692883896,505.0,0.2,0.05,0.8,-NA-
268,70.07089552238806,507.0,0.2,0.05,0.8,-NA-
269,67.93680297397769,-504.0,0.2,0.05,0.8,-NA-
270,65.8,-509.0,0.2,0.05,0.8,-NA-
